side	modId	displayName	version	loader	tier	classes	forgeRefs	neoRefs	mixinConfigs	mixinClasses	hasAT	hasCoremod	nestedJars	sizeKB	file
target	modern_industrialization	Modern Industrialization	2.5.5	NEOFORGE	HARD	1111	0	224	1	2	true	false	1	6959	Modern-Industrialization-2.5.5.jar
target	moderndynamics	Modern Dynamics	0.9.6	NEOFORGE	HARD	248	0	71	1	1	true	false	0	691	Modern-Dynamics-0.9.6.jar
target	modernfix	ModernFix	5.27.20+mc1.21.1	NEOFORGE	NIGHTMARE	311	1	26	1	161	true	false	0	585	modernfix-neoforge-5.27.20+mc1.21.1.jar
target	modonomicon	Modonomicon	1.120.4	NEOFORGE	MODERATE	411	0	25	1	0	true	false	3	2343	modonomicon-1.21.1-neoforge-1.120.4.jar
target	modularbees	ModularBees	1.21.1-3.3-neoforge	NEOFORGE	HARD	216	0	86	1	6	true	false	0	547	ModularBees-1.21.1-3.3-neoforge.jar
target	modularrouters	Modular Routers	13.2.7	NEOFORGE	HARD	376	0	184	1	1	true	false	0	1255	modular-routers-13.2.7+mc1.21.1.jar
target	monolib	MonoLib	4.1.0	NEOFORGE	HARD	105	0	10	2	5	false	false	0	186	monolib-neoforge-1.21.1-4.1.0.jar
target	moogs_structures	Moog's Structure Lib	3.0.3	NEOFORGE	HARD	129	0	8	2	16	true	false	0	328	moogs_structures-neoforge-1.21.1-3.0.3.jar
target	moonlight	Moonlight Lib	1.21.1-3.3.0	NEOFORGE	NIGHTMARE	815	0	93	2	66	true	false	1	2085	moonlight-neoforge-1.21.1-3.3.0.jar
target	moredragoneggs	More Dragon Eggs	5.0	NEOFORGE	HARD	3	0	2	1	1	false	false	0	6	moredragoneggs-5.0.jar
target	moreoverlays	More Overlays Updated	1.24.2	NEOFORGE	HARD	42	0	22	0	1	false	false	0	110	moreoverlays-1.24.2-mc1.21.1-neoforge.jar
target	morered	More Red	6.0.0.3	NEOFORGE	HARD	106	0	57	1	2	true	false	0	523	morered-1.21.1-6.0.0.3.jar
target	moreredxcctcompat	More Red x CC:Tweaked Compat	1.21.1-1.3.0	NEOFORGE	TRIVIAL	4	0	2	0	0	false	false	0	7	MoreRed-CCT-Compat-1.21.1-1.3.0.jar
target	mostructures	Mo' Structures	1.6.0+1.21.1	NEOFORGE	HARD	15	0	1	1	3	false	false	0	761	mostructures-neoforge-1.6.0+1.21.1.jar
target	mousetweaks	Mouse Tweaks	2.26.1	NEOFORGE	HARD	22	0	2	2	1	false	false	0	72	MouseTweaks-neoforge-mc1.21-2.26.1.jar
target	multipiston	Multi-Piston	1.2.58-1.21.1	NEOFORGE	TRIVIAL	10	0	6	0	0	true	false	0	33	multipiston-1.2.58-1.21.1.jar
target	mysticalagradditions	Mystical Agradditions	8.0.14	NEOFORGE	TRIVIAL	35	0	23	0	0	true	false	0	310	MysticalAgradditions-1.21.1-8.0.14.jar
target	mysticalagriculture	Mystical Agriculture	8.0.27	NEOFORGE	MODERATE	295	0	173	0	0	true	false	0	2270	MysticalAgriculture-1.21.1-8.0.27.jar
target	mysticalcustomization	Mystical Customization	6.0.2	NEOFORGE	TRIVIAL	18	0	10	0	0	false	false	0	48	MysticalCustomization-1.21.1-6.0.2.jar
target	naturesaura	NaturesAura	41.9	NEOFORGE	MODERATE	315	0	166	0	0	false	false	0	1409	NaturesAura-41.9.jar
target	naturescompass	Nature's Compass	1.21.1-3.4.0-neoforge	NEOFORGE	TRIVIAL	33	0	26	0	0	false	false	0	219	NaturesCompass-1.21.1-3.4.0-neoforge.jar
target	neo_auth	NeoAuth	1.0.1	NEOFORGE	HARD	20	0	5	1	7	true	false	0	59	NeoAuth-1.21.1-1.0.1.jar
target	netherportalfix	NetherPortalFix	21.1.1	NEOFORGE	HARD	6	0	1	2	2	false	false	0	207	netherportalfix-neoforge-1.21.1-21.1.1.jar
target	nochatreports	No Chat Reports	1.21.1-v2.9.1	NEOFORGE	NIGHTMARE	88	0	2	2	33	true	false	0	299	NoChatReports-NEOFORGE-1.21.1-v2.9.1.jar
target	not_enough_glyphs	Not Enough Glyphs	4.6.1	NEOFORGE	HARD	129	0	47	1	3	true	false	1	616	not_enough_glyphs-1.21.1-4.6.1.jar
target	notenoughanimations	NotEnoughAnimations	1.12.4	NEOFORGE	HARD	74	0	1	1	13	false	false	0	1894	notenoughanimations-neoforge-1.12.4-mc1.21.1.jar
target	novillagerdm	No Villager Death Messages	6.0.0	NEOFORGE	TRIVIAL	3	0	1	0	0	false	false	0	4	novillagerdm-1.21.1-6.0.0.jar
target	nullscape	Nullscape	1.2.14	NEOFORGE	TRIVIAL	0	0	0	0	0	false	false	0	347	Nullscape_1.21.x_v1.2.14.jar
target	observable	Observable	5.4.4	NEOFORGE	HARD	193	0	2	0	2	false	false	0	379	observable-5.4.4.jar
